distance_to_candidate,remaining_capacity_ratio,candidate_demand_ratio,dist_candidate_to_depot,urgency_score,shap_distance_to_candidate,shap_remaining_capacity_ratio,shap_candidate_demand_ratio,shap_dist_candidate_to_depot,shap_urgency_score
0.1051456152987057,0.74271568472411,0.1586269560962571,0.3211372827094662,0.3759672761919036,0.15291424402551002,0.001812927520068115,0.002707091948109337,-0.004550504062804066,-0.003079440220712968
0.5175491261941321,0.8154121243772816,0.1537363059020864,0.3088300201867647,0.337760955100156,-0.03687615829546757,-0.0025781909797979096,-3.106676935203723e-05,0.00012111264419672807,-0.0035925876678857094
0.4219196332106394,0.4391478164164274,0.2417336803946407,0.5850030941250328,0.5824687873762484,-0.03831936015600149,-0.0014494608747236272,-0.0008944335043270257,-0.00011758054208712564,-0.0025011817103586507
0.1901207216687431,0.5100466626739489,0.3676550000219483,0.4801769697991817,0.485957715294466,-0.023555413227327335,-0.006959113986799821,-0.00280891508598188,-0.0001813998546140283,-0.0031716827420632397
0.2998046711543214,0.7015975842848166,0.3896914230007311,0.4717307763712501,0.3742496678587555,-0.03541326137615215,-0.002948708615790565,-0.0021870636635912886,-0.00032643054366872094,-0.0026903563702853715
0.5233865294042506,0.1513630214516029,0.2910278308451985,0.3055637548969457,1.0,-0.022354933200198275,-0.009423057294225146,-0.008829220610073208,-0.00021250005644787962,-0.0015322029137814753
0.1129628451229634,1.0,0.2391573508011447,0.1129628451229634,0.2442289365975545,0.05664216235117919,0.03133733446337828,-0.004802842240926566,0.04326913145379649,0.02787616122735244
0.4184195916570624,0.3728042513940188,0.3021820517768823,0.4591787862759955,0.6510534915599886,-0.03594378417628832,-0.002529104231357451,-0.001776182575185885,-0.00015597075386267534,-0.0028869202919850068
0.6075092257731529,1.0,0.2745063670600188,0.6075092257731529,0.2540102677198983,-0.04001968553558754,0.01308057695909156,0.0006440053410074143,-0.005148829715617467,0.0047137121501918955
0.4144276176672931,0.774637658147226,0.3100588786520737,0.4271810896777537,0.3604740745997364,-0.03666481874545298,-0.0025204198845631253,-0.001132293173977814,-0.00029228671561668304,-0.002724385526125843
0.2380608820289024,0.4757951525467062,0.1853879167237473,0.5003752873295858,0.5238698086449397,-0.0329375170012554,-0.003237438069813834,-0.000536731991949182,-0.00047486323016073586,-0.0028730320270688027
0.3965314087129061,0.8284742057980761,0.2759700603612066,0.39144737172449,0.3171720044765456,-0.03663816979998955,-0.002563907354647199,-0.0007377969820663566,-0.0002508075336163529,-0.00318112096945697
0.2158108447113233,1.0,0.2434312802439373,0.2158108447113233,0.2688691820796303,-0.025574928323117092,0.021691437647432393,0.00015043034687550972,0.014451314770149111,0.009695299746795172
0.4196090105372872,0.7719028859310356,0.281347689276078,0.745649097787528,0.3167384952251422,-0.03893659963421669,-0.002626405518080901,-0.0006494374132398662,0.0014646985229001075,-0.0029344056478566925
0.1989125527687231,0.2285316526076859,0.1588440516605671,0.229257334923929,1.0,-0.021814404387325795,-0.0020815946956236077,0.005178541163295449,0.0021402426975146225,0.001821711779875841
0.6513636493829689,1.0,0.1644865335197393,0.6513636493829689,0.2627688245100899,-0.04137908293379951,0.010774640846498186,-0.0023095004732226697,-0.004842321951309713,0.0027241657208969625
0.3861353916520214,0.4338736475519071,0.3640019729393209,0.5753922317194643,0.5661771145058798,-0.036619646337594534,-0.0018191000933757097,-0.0020948282936024045,-8.268884019798861e-05,-0.0025604980865273318
0.1359586257965588,0.1658339933528573,0.2159094651823288,0.5135506458697849,1.0,0.048894390088782984,-0.02287081343009504,-0.008970597300442478,0.0013281260970620678,-0.0023371307517982133
0.0249196799627196,0.7025038252985867,0.2154946208139099,0.0267952782134583,0.3612476550266304,0.6068142167161864,0.01677151876521748,0.009054456062563077,0.11070186776931677,0.018698985121009173
0.4780697526082009,0.7211996704626655,0.2804249566660181,0.4613789906685055,0.3295955312963215,-0.03788845047827635,-0.0018908379489721483,-0.0006558379559965032,-0.00020328941422576464,-0.003095620480562502
0.4506777609369863,0.7307236227997161,0.2903389094777848,0.5958177095242339,0.3230759798953111,-0.03793311187514064,-0.001992527164843523,-0.000681350693762397,-0.0002159293544400498,-0.002956109079550515
0.6139857500752052,1.0,0.201010988523869,0.6139857500752052,0.2492547155188328,-0.04060917887311689,0.011744505499541447,-0.001670870737959831,-0.005091657392258639,0.0037756440814746385
0.3576893875727717,0.5767981499834204,0.2788003295373344,0.3095763532075756,0.4121098317733974,-0.03669713384531861,-0.002650237997381737,-0.000663255397564626,0.00028448298192870427,-0.0028733401142744695
0.4340572299815034,0.2152541727425236,0.2464511818881874,0.5013573452059935,1.0,-0.02998027609917017,-0.004162435440930494,-0.004865063643349004,-0.0013602068496129504,-0.0007408898128278452
0.1898409965292528,0.2716713581060523,0.169946516390718,0.4348150158112079,0.8534894839188238,-0.022511338581909967,-0.007932672868646478,0.003318533433985067,-0.00025404087092738335,-0.0007908133292130515
0.2107338789895722,1.0,0.3645980763243682,0.2107338789895722,0.2588310872184727,-0.02638091036834794,0.021582908466089065,-0.0007287159710438118,0.016653812134450163,0.01386337137749706
0.3467301577740079,1.0,0.2483074856662684,0.3467301577740079,0.2575381088647135,-0.03649359398402339,0.014552804751574513,-0.00030346948140618223,-0.0025681934594013,0.00527766265000082
0.1715657371423012,0.7109635331408001,0.1973576145347147,0.4019861291462431,0.345719728649131,-0.006608418244582026,-0.00816156536048311,-0.0007219811728100467,-0.0006640689014102463,-0.003078310632895409
0.0683897766224001,0.4685894136792488,0.3832370953910798,0.1128545186934623,0.5839467340073197,0.3702633677704876,0.013201051135151829,-0.03270633801261056,-0.02740852196591959,0.0064968791302953835
